Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019
Burundi,2.905,2.905,2.90499997138977,2.905,3.775
Syria,3.006,3.069,3.46199989318848,3.462,3.462
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334
Tanzania,3.781,3.666,3.34899997711182,3.303,3.2310000000000003
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.2030000000000003
Togo,2.839,3.303,3.4949998855590803,3.999,4.085
Yemen,4.077,3.724,3.59299993515015,3.355,3.38
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933
Botswana,4.332,3.974,3.7660000324249294,3.59,3.488
Liberia,4.5710000000000015,3.622,3.532999992370609,3.495,3.975
